review_id,Ulasan,model_text,gold_kelas_asli,gold_subclass,kelas_terdeteksi_asli,subclass_terdeteksi
PAKAR-0001,aplikasi yang sangat membantu dalam hal pengaduan maupun tentang info tentang kelistrikan,aplikasi sangat membantu pengaduan maupun info kelistrikan,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0004,memudahkan segala pelayanan kelistrikan. pln keren! semoga mempertahankan dan semakin meningkat kualitas pelayanan dari pln mobile terima kasih,memudahkan segala pelayanan kelistrikan pln keren semoga mempertahankan semakin meningkat kualitas pelayanan pln mobile terima kasih,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0006,semoga memudahkan saya untuk mengetahui sisa token dan jika ada keluhan kepada pln,semoga memudahkan mengetahui sisa token keluhan pln,KLASIFIKASI FEATURE DESIGN,4F,['Feature Error'],['2B']
PAKAR-0007,"benar benar sangat buruk layanan pln. sudah menunggu jam lebih katanya karena ada perbaikan, masa hanya habis token tidak bisa mengisi lg. sedangkan lampu lainnya hidup, maintenance darimana nya kecewa. token beli teruss, tp, layanan putus . parah.",benar benar sangat buruk layanan pln menunggu jam lebih katanya perbaikan masa habis token tidak bisa mengisi lagi lampu lainnya hidup maintenance darimana kecewa token beli teruss tapi layanan putus parah,KLASIFIKASI SERVICE 020,1A,['Feature Error'],['2B']
PAKAR-0008,sangat memudahkan sekali untuk bertransaksi,sangat memudahkan sekali bertransaksi,KLASIFIKASI FEATURE DESIGN,4A,[],[]
PAKAR-0009,"tidak ada otak aturan kelen, mau beli token aja di persulit. apalagi ngemis, aduh tidak tau lah saya ngomongnya.",tidak otak aturan kelen mau beli token persulit ngemis aduh tidak tau ngomongnya,KLASIFIKASI FEATURE DESIGN,4A,['Feature Error'],['2B']
PAKAR-0010,"cepat tanggap, pelayanan baik",cepat tanggap pelayanan baik,KLASIFIKASI SERVICE 020,1A,[],[]
PAKAR-0011,"good job, cepat banget datangnya setelah pengaduan",good job cepat banget datangnya pengaduan,KLASIFIKASI SERVICE 020,1E,[],[]
PAKAR-0012,pendaftaran dan pelayanan yang simpel membuat pelanggan puas,pendaftaran pelayanan simpel membuat pelanggan puas,KLASIFIKASI REGISTRATION,5B,[],[]
PAKAR-0013,"terima kasih pak petugas pln.penanganya luar biasa, cepat respon dan penganan cepat di selesaikan, nyala lagi dah.mks",terima kasih pak petugas pln penanganya luar biasa cepat respon penganan cepat selesaikan nyala dah mks,KLASIFIKASI SERVICE 020,1E,['Service O2O'],['1A']
PAKAR-0014,semoga dengan aplikasi pln mobile dapat harga token listrik yang lebih murah dan terbaik,semoga aplikasi pln mobile harga token listrik lebih murah terbaik,KLASIFIKASI UMUM,3B,['Feature Error'],"['2B', '2C']"
PAKAR-0015,"percuma ada wadah pengaduan , saya dapat kecurangan pembayaran yang jelas kata pln salah petugas pencatatnya, justru tetap suruh bayar dengan kerugian . ribuan. tolong dong ditindak petugasnya , bukan konsumennya yang dirugikan",percuma wadah pengaduan kecurangan pembayaran jelas kata pln salah petugas pencatatnya justru tetap suruh bayar kerugian ribuan ditindak petugasnya bukan konsumennya dirugikan,KLASIFIKASI SERVICE 020,1D,"['Feature Error', 'Service O2O']","['1A', '2B']"
PAKAR-0016,"saya niat membantu dengan lapor mandiri lewat pln mobiel,tpi saya justru kejebak tagihan jdi membengkak kali lipat,alasan pln karna saya tidak mengedit angka kwh,mana saya ngerti seperti itu,saya cuma foto secara utuh terus kirim,",niat membantu lapor mandiri lewat pln mobiel tapi justru kejebak tagihan jdi membengkak kali lipat alasan pln karna tidak mengedit angka kwh mana ngerti cuma foto utuh terus kirim,KLASIFIKASI FEATURE DESIGN,4I,[],[]
PAKAR-0017,"mau bayar pakai ovo susah sekali mau masukan nomor hp tidak bisa, menu cs juga tidak ada",mau bayar pakai ovo susah sekali mau masukan nomor hp tidak bisa menu cs tidak,KLASIFIKASI FEATURE ERROR,2C,['Registration'],['5E']
PAKAR-0018,"fiturnya tambah banyak, semakin lengkap aje. mantap.",fiturnya tambah banyak semakin lengkap aje mantap,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0019,"upgrade akun ditolak, padahal itu data pribadi, pln ohh pln.",upgrade akun ditolak padahal data pribadi pln ohh pln,KLASIFIKASI REGISTRATION,5F,"['Registration', 'Umum']","['3C', '5D']"
PAKAR-0020,aplikasinya sangat membatu sekali buat kami terutama dalam proses pengaduan terkuat gangguan,aplikasinya sangat membatu sekali buat terutama proses pengaduan terkuat gangguan,KLASIFIKASI FEATURE DESIGN,4D,[],[]
PAKAR-0021,"aplikasi yang sangat membantu sekali buat pelanggan setia pln, sangat mudah digunakan dan pelayanannya sangat baik terutama team yang ada di lapangan. sukses selalu buat pln mobile semoga kedepannya tambah baik lagi dalam segi pelayanan, good job pln",aplikasi sangat membantu sekali buat pelanggan setia pln sangat mudah digunakan pelayanannya sangat baik terutama team lapangan sukses selalu buat pln mobile semoga kedepannya tambah baik segi pelayanan good job pln,KLASIFIKASI SERVICE 020,1A,[],[]
PAKAR-0023,tambah mudah sangat user friendly dan sangat tanggap dalam menanggapi keluhan pelanggan.,tambah mudah sangat user friendly sangat tanggap menanggapi keluhan pelanggan,KLASIFIKASI FEATURE DESIGN,4E,['Service O2O'],['1B']
